,landing_page_id,origin,sdr_id,sr_id,business_segment,lead_type,lead_behaviour_profile,business_type,seller_city,seller_state,sdr_load,sr_load
0,50,organic_search,7,6,computers,online_medium,"cat, wolf",reseller,belo horizonte,MG,6.0,5.0
1,55,paid_search,7,6,bags_backpacks,online_small,eagle,manufacturer,sao paulo,SP,20.0,14.0
2,46,social,7,6,household_utilities,online_medium,cat,manufacturer,curitiba,PR,69.0,74.0
3,62,organic_search,7,6,toys,online_medium,cat,reseller,sao paulo,SP,18.0,17.0
4,56,unknown,7,6,construction_tools_house_garden,online_big,cat,reseller,guarulhos,SP,29.0,26.0
5,51,display,7,6,car_accessories,online_big,wolf,manufacturer,caxias do sul,RS,17.0,12.0
6,13,organic_search,7,6,bags_backpacks,online_medium,wolf,manufacturer,sao paulo,SP,16.0,9.0
7,70,unknown,7,6,baby,online_medium,cat,reseller,sao bernardo do campo,SP,68.0,73.0
8,13,direct_traffic,7,6,construction_tools_house_garden,online_big,cat,manufacturer,cotia,SP,15.0,9.0
9,26,organic_search,7,6,food_supplement,online_medium,cat,reseller,florianopolis,SC,15.0,16.0
10,56,unknown,0,6,pet,online_top,cat,reseller,sao paulo,SP,11.0,15.0
11,37,paid_search,0,6,health_beauty,online_medium,cat,manufacturer,guaruja,SP,8.0,7.0
12,56,social,0,6,baby,online_medium,cat,manufacturer,barbacena,MG,34.0,56.0
13,64,organic_search,0,6,audio_video_electronics,online_medium,cat,reseller,jacarei / sao paulo,SP,39.0,54.0
14,53,organic_search,12,6,pet,online_medium,cat,reseller,belo horizonte,MG,7.0,14.0
15,12,paid_search,12,6,home_office_furniture,offline,cat,manufacturer,guarulhos,SP,8.0,15.0
16,56,unknown,12,6,construction_tools_house_garden,online_medium,eagle,reseller,vila velha,ES,10.0,13.0
17,43,referral,12,6,sports_leisure,online_small,cat,manufacturer,praia grande,SP,24.0,25.0
18,13,direct_traffic,12,6,household_utilities,industry,cat,manufacturer,rio de janeiro,RJ,12.0,14.0
19,56,unknown,12,6,health_beauty,online_medium,cat,manufacturer,itaquaquecetuba,SP,31.0,37.0
20,18,unknown,12,6,car_accessories,online_medium,cat,reseller,piracicaba,SP,12.0,15.0
21,56,unknown,12,6,construction_tools_house_garden,online_small,cat,reseller,londrina,PR,11.0,12.0
22,56,organic_search,12,6,household_utilities,online_medium,cat,manufacturer,diadema,SP,12.0,15.0
23,56,unknown,8,6,food_drink,offline,cat,reseller,osasco,SP,12.0,16.0
24,13,organic_search,8,6,construction_tools_house_garden,online_big,cat,manufacturer,sao roque,SP,10.0,12.0
25,26,paid_search,8,6,watches,offline,eagle,reseller,orleans,SC,14.0,19.0
26,13,organic_search,8,6,audio_video_electronics,online_medium,cat,reseller,santo andre,SP,11.0,14.0
27,14,paid_search,8,6,car_accessories,online_medium,eagle,reseller,uberlandia,MG,17.0,21.0
28,13,organic_search,8,6,home_decor,online_medium,eagle,manufacturer,jundiai,SP,16.0,18.0
29,49,paid_search,8,6,household_utilities,online_medium,cat,manufacturer,santa rita do sapucai,MG,7.0,15.0
30,56,unknown,8,6,home_decor,offline,cat,reseller,ibitinga,SP,16.0,19.0
31,17,direct_traffic,8,6,bags_backpacks,online_medium,cat,manufacturer,jaragua,GO,13.0,20.0
32,56,organic_search,8,6,toys,online_medium,eagle,reseller,duque de caxias,RJ,9.0,14.0
33,56,unknown,10,6,construction_tools_house_garden,online_medium,eagle,reseller,sao paulo,SP,10.0,13.0
34,56,organic_search,10,6,audio_video_electronics,industry,cat,manufacturer,guarulhos,SP,19.0,20.0
35,59,social,10,6,phone_mobile,industry,eagle,reseller,brasilia,DF,16.0,20.0
36,56,unknown,10,6,toys,online_medium,cat,reseller,jacarei,SP,8.0,10.0
37,26,paid_search,10,6,health_beauty,online_big,eagle,reseller,sao paulo,SP,12.0,13.0
38,46,social,10,6,health_beauty,offline,wolf,reseller,itaporanga,SP,11.0,25.0
39,56,organic_search,10,6,car_accessories,online_medium,cat,reseller,sao paulo,SP,17.0,17.0
40,62,paid_search,10,6,computers,online_small,cat,reseller,sao paulo,SP,13.0,15.0
41,28,direct_traffic,11,6,health_beauty,online_medium,cat,reseller,ribeirao preto,SP,13.0,16.0
42,46,social,11,6,stationery,online_medium,cat,reseller,marilia,SP,11.0,15.0
43,57,organic_search,11,6,construction_tools_house_garden,industry,eagle,reseller,pompeia,SP,11.0,16.0
44,69,paid_search,11,6,gifts,online_medium,cat,reseller,porto ferreira,SP,27.0,28.0
45,13,unknown,14,6,food_drink,industry,cat,reseller,sao paulo,SP,5.0,15.0
46,56,unknown,14,6,household_utilities,online_big,cat,manufacturer,ribeirao preto,SP,13.0,16.0
47,62,paid_search,14,6,home_decor,online_medium,cat,reseller,pedreira,SP,15.0,22.0
48,73,paid_search,14,6,household_utilities,industry,cat,manufacturer,araquari,SC,9.0,15.0
49,26,paid_search,14,6,health_beauty,online_small,cat,manufacturer,jau,SP,12.0,20.0
50,46,social,14,6,construction_tools_house_garden,online_beginner,cat,reseller,maua,SP,10.0,12.0
51,56,unknown,14,6,music_instruments,online_medium,cat,reseller,sao paulo,SP,15.0,22.0
52,13,organic_search,14,6,health_beauty,online_small,cat,reseller,sao paulo,SP,11.0,16.0
53,1,paid_search,14,6,stationery,industry,cat,manufacturer,diadema,SP,11.0,14.0
54,46,social,14,6,toys,online_small,cat,reseller,sao paulo,SP,21.0,26.0
55,56,unknown,14,6,handcrafted,offline,cat,reseller,sao paulo,SP,14.0,52.0
56,56,unknown,5,6,baby,online_big,eagle,reseller,indaiatuba,SP,7.0,12.0
57,56,organic_search,5,6,computers,172,cat,reseller,garca,SP,7.0,13.0
58,31,social,5,6,health_beauty,online_medium,cat,reseller,sao paulo,SP,12.0,20.0
59,71,paid_search,1,6,health_beauty,online_medium,cat,reseller,rio de janeiro,RJ,9.0,15.0
60,13,organic_search,13,6,health_beauty,online_top,cat,reseller,sao paulo,SP,6.0,7.0
61,72,paid_search,13,6,party,offline,cat,manufacturer,santo andre,SP,10.0,6.0
62,13,organic_search,13,6,construction_tools_house_garden,online_big,cat,reseller,araraquara,SP,11.0,7.0
63,56,unknown,13,6,household_utilities,online_medium,cat,reseller,itapeva,SP,11.0,7.0
64,43,referral,13,6,computers,online_big,cat,reseller,anapolis,GO,10.0,6.0
65,62,direct_traffic,15,6,small_appliances,online_medium,cat,reseller,franco da rocha,SP,3.0,6.0
66,46,social,17,6,pet,online_small,cat,reseller,rio de janeiro,RJ,13.0,25.0
67,13,unknown,17,6,audio_video_electronics,online_medium,cat,reseller,sao paulo,SP,12.0,20.0
68,8,direct_traffic,17,6,home_decor,online_small,cat,reseller,pocos de caldas,MG,9.0,21.0
69,56,unknown,4,6,health_beauty,offline,cat,manufacturer,canoas,RS,4.0,12.0
70,56,unknown,4,6,bed_bath_table,online_big,cat,reseller,rio de janeiro,RJ,4.0,7.0
71,69,referral,4,6,health_beauty,online_big,cat,reseller,niteroi,RJ,2.0,4.0
72,26,paid_search,4,6,pet,industry,eagle,manufacturer,maringa,PR,2.0,6.0
73,19,paid_search,4,6,car_accessories,online_big,cat,reseller,sao paulo,SP,7.0,16.0
74,26,paid_search,9,6,audio_video_electronics,online_big,cat,reseller,campinas,SP,1.0,47.0
75,49,unknown,7,15,home_appliances,industry,wolf,manufacturer,santos,SP,69.0,40.0
76,17,organic_search,7,15,household_utilities,online_medium,wolf,reseller,sao joao de meriti,RJ,19.0,5.0
77,35,paid_search,7,15,books,online_medium,wolf,reseller,sao paulo,SP,14.0,11.0
78,56,unknown,7,15,computers,online_medium,wolf,reseller,varzea paulista,SP,22.0,8.0
79,13,organic_search,7,15,health_beauty,online_big,cat,reseller,sp / sp,SP,15.0,10.0
80,45,paid_search,7,15,phone_mobile,online_medium,cat,reseller,atibaia,SP,15.0,11.0
81,46,social,7,15,food_drink,online_small,cat,reseller,porto alegre,RS,30.0,15.0
82,26,paid_search,7,15,household_utilities,online_medium,cat,reseller,viana,ES,15.0,11.0
83,26,paid_search,7,15,computers,industry,cat,reseller,santo andre,SP,21.0,11.0
84,31,unknown,7,15,sports_leisure,online_medium,wolf,reseller,sao jose do rio preto,SP,15.0,7.0
85,56,unknown,0,15,toys,online_beginner,cat,reseller,itu,SP,10.0,6.0
86,29,direct_traffic,0,15,toys,online_small,cat,reseller,uberlandia,MG,9.0,8.0
87,26,paid_search,0,15,bed_bath_table,online_medium,cat,manufacturer,muriae,MG,12.0,11.0
88,26,paid_search,0,15,watches,online_medium,cat,reseller,guarulhos,SP,9.0,7.0
89,69,organic_search,12,15,household_utilities,online_big,cat,reseller,sao paulo,SP,8.0,6.0
90,13,referral,12,15,health_beauty,offline,eagle,reseller,sao joao del rei,MG,11.0,7.0
91,13,organic_search,12,15,sports_leisure,online_medium,cat,reseller,recife,PE,15.0,11.0
92,56,unknown,8,15,car_accessories,online_medium,cat,reseller,jaragua do sul,SC,30.0,39.0
93,56,organic_search,8,15,baby,online_big,cat,reseller,tabatinga,SP,23.0,17.0
94,13,organic_search,8,15,pet,industry,cat,reseller,curitiba,PR,24.0,17.0
95,62,organic_search,8,15,household_utilities,industry,eagle,reseller,pinhalao,PR,8.0,6.0
96,56,unknown,10,15,small_appliances,online_big,eagle,reseller,maringa,PR,16.0,11.0
97,13,organic_search,10,15,pet,online_big,eagle,reseller,mogi guacu,SP,16.0,12.0
98,55,paid_search,14,15,construction_tools_house_garden,online_big,cat,reseller,extrema,MG,5.0,6.0
99,62,paid_search,14,15,computers,online_beginner,cat,reseller,maringa,PR,22.0,36.0
100,13,paid_search,14,15,home_decor,online_big,cat,reseller,cascavel,PR,9.0,9.0
101,56,unknown,14,15,bed_bath_table,industry,cat,manufacturer,ibitinga,SP,9.0,9.0
102,56,unknown,14,15,household_utilities,online_medium,cat,reseller,caxias do sul,RS,11.0,10.0
103,13,organic_search,14,15,health_beauty,online_beginner,cat,reseller,sao paulo,SP,12.0,10.0
104,3,paid_search,14,15,food_supplement,online_small,cat,reseller,rio de janeiro,RJ,22.0,20.0
105,19,paid_search,5,15,health_beauty,industry,cat,manufacturer,ribeirao preto,SP,7.0,4.0
106,31,social,1,15,health_beauty,online_medium,cat,reseller,sao paulo,SP,12.0,17.0
107,25,unknown,1,15,audio_video_electronics,online_medium,wolf,reseller,curitiba,PR,4.0,8.0
108,13,organic_search,1,15,construction_tools_house_garden,online_medium,wolf,reseller,sao paulo,SP,6.0,8.0
109,38,paid_search,1,15,handcrafted,offline,eagle,287,sao carlos,SP,5.0,9.0
110,42,unknown,1,15,household_utilities,online_big,wolf,reseller,carapicuiba,SP,6.0,7.0
111,13,organic_search,1,15,audio_video_electronics,online_medium,eagle,reseller,campo bom,RS,5.0,6.0
112,54,unknown,1,15,pet,online_top,cat,manufacturer,araraquara,SP,4.0,3.0
113,18,paid_search,13,15,car_accessories,online_medium,cat,manufacturer,indaiatuba,SP,6.0,4.0
114,26,organic_search,15,15,construction_tools_house_garden,online_medium,cat,reseller,guarulhos,SP,3.0,2.0
115,56,unknown,9,15,music_instruments,online_big,eagle,reseller,joao pessoa,PB,1.0,23.0
116,49,direct_traffic,7,8,bed_bath_table,online_beginner,cat,manufacturer,ibitinga,SP,23.0,13.0
117,57,paid_search,7,8,music_instruments,online_medium,wolf,reseller,florianopolis,SC,12.0,6.0
118,56,organic_search,7,8,household_utilities,online_medium,cat,manufacturer,arapongas,PR,49.0,23.0
119,46,social,7,8,audio_video_electronics,online_medium,wolf,reseller,santo andre,SP,42.0,22.0
120,13,direct_traffic,7,8,car_accessories,online_medium,wolf,reseller,pitangueiras,SP,10.0,6.0
121,69,organic_search,7,8,health_beauty,online_medium,wolf,reseller,rio claro,SP,12.0,3.0
122,30,organic_search,7,8,food_drink,online_medium,wolf,reseller,sao paulo,SP,55.0,27.0
123,58,direct_traffic,7,8,construction_tools_house_garden,online_medium,cat,reseller,brasilia,DF,15.0,7.0
124,13,organic_search,7,8,home_decor,online_medium,cat,reseller,sao paulo,SP,18.0,10.0
125,15,direct_traffic,7,8,household_utilities,online_medium,wolf,manufacturer,sorocaba,SP,19.0,7.0
126,13,paid_search,7,8,household_utilities,online_medium,cat,reseller,sao paulo,SP,11.0,4.0
127,62,paid_search,7,8,household_utilities,online_big,wolf,manufacturer,claudio,MG,21.0,7.0
128,13,113,7,8,audio_video_electronics,online_big,cat,reseller,sete lagoas,MG,11.0,6.0
129,56,unknown,7,8,construction_tools_house_garden,online_small,cat,reseller,curitiba,PR,12.0,6.0
130,26,organic_search,0,8,sports_leisure,online_medium,cat,reseller,sbc,SP,10.0,4.0
131,56,unknown,0,8,home_decor,online_medium,cat,manufacturer,sao jose do rio preto,SP,15.0,9.0
132,13,email,0,8,pet,online_medium,wolf,reseller,avare,SP,21.0,13.0
133,56,unknown,0,8,fashion_accessories,online_medium,cat,reseller,franca,SP,11.0,8.0
134,13,organic_search,12,8,home_decor,online_big,cat,reseller,brusque,SC,9.0,7.0
135,13,direct_traffic,8,8,gifts,offline,cat,reseller,americana,SP,30.0,21.0
136,69,paid_search,10,8,audio_video_electronics,online_medium,eagle,reseller,embu das artes,SP,9.0,4.0
137,50,organic_search,11,8,car_accessories,online_medium,cat,reseller,salto,SP,3.0,6.0
138,13,paid_search,11,8,construction_tools_house_garden,online_big,cat,reseller,londrina,SP,3.0,6.0
139,68,unknown,11,8,bed_bath_table,offline,eagle,reseller,lambari,MG,17.0,6.0
140,62,organic_search,11,8,car_accessories,online_big,eagle,manufacturer,londrina,PR,6.0,7.0
141,13,display,11,8,construction_tools_house_garden,online_medium,cat,reseller,paracambi,RJ,5.0,6.0
142,13,paid_search,14,8,household_utilities,online_small,cat,reseller,sao bernardo do campo,SP,10.0,8.0
143,13,unknown,14,8,computers,industry,cat,reseller,sao paulo,SP,11.0,11.0
144,56,unknown,14,8,household_utilities,online_big,cat,reseller,bento goncalves,RS,12.0,12.0
145,48,paid_search,5,8,bags_backpacks,offline,wolf,reseller,guarulhos,SP,13.0,11.0
146,66,paid_search,1,8,computers,online_beginner,cat,reseller,sao caetano do sul,SP,3.0,4.0
147,7,organic_search,13,8,home_appliances,online_big,cat,reseller,novo hamburgo,RS,14.0,15.0
148,6,paid_search,15,8,home_decor,online_medium,eagle,reseller,florianopolis,SC,6.0,7.0
149,67,organic_search,17,8,health_beauty,industry,cat,manufacturer,sao roque,SP,12.0,8.0
150,56,unknown,2,8,sports_leisure,online_medium,eagle,reseller,sao paulo,SP,3.0,5.0
151,11,organic_search,2,8,household_utilities,online_medium,cat,reseller,curitiba,PR,6.0,7.0
152,56,unknown,7,9,home_decor,online_big,shark,manufacturer,sao paulo,SP,20.0,13.0
153,56,organic_search,7,9,home_decor,online_big,wolf,manufacturer,uberlandia,MG,19.0,11.0
154,65,113,7,9,construction_tools_house_garden,online_medium,cat,manufacturer,atibaia,SP,16.0,5.0
155,17,social,0,9,audio_video_electronics,online_big,cat,reseller,umuarama,PR,11.0,6.0
156,18,organic_search,0,9,car_accessories,industry,eagle,reseller,juiz de fora,MG,5.0,8.0
157,13,paid_search,0,9,bed_bath_table,online_medium,cat,reseller,ibitinga,SP,17.0,7.0
158,4,paid_search,0,9,audio_video_electronics,online_medium,cat,reseller,nova friburgo,RJ,34.0,26.0
159,56,organic_search,12,9,gifts,online_medium,cat,reseller,mogi guacu,SP,24.0,25.0
160,56,unknown,12,9,home_office_furniture,industry,cat,manufacturer,ribeirao pires,SP,16.0,11.0
161,18,organic_search,12,9,home_decor,online_medium,eagle,reseller,itapecerica da serra,SP,7.0,11.0
162,60,email,12,9,household_utilities,online_medium,cat,reseller,vila velha,ES,9.0,10.0
163,24,unknown,8,9,car_accessories,online_big,cat,reseller,sao jose dos pinhais,PR,19.0,7.0
164,62,organic_search,10,9,household_utilities,online_big,cat,reseller,sao carlos,SP,17.0,11.0
165,13,organic_search,11,9,sports_leisure,online_medium,cat,reseller,sao paulo,SP,7.0,14.0
166,33,paid_search,11,9,construction_tools_house_garden,offline,shark,reseller,sao paulo,SP,8.0,8.0
167,13,organic_search,11,9,food_supplement,online_medium,cat,reseller,ribeirao preto,SP,15.0,6.0
168,50,organic_search,11,9,construction_tools_house_garden,online_big,cat,reseller,sao joao da boa vista,SP,8.0,7.0
169,26,paid_search,11,9,construction_tools_house_garden,online_big,cat,manufacturer,limeira,SP,28.0,13.0
170,55,paid_search,11,9,bed_bath_table,offline,cat,reseller,itirapina,SP,9.0,22.0
171,13,direct_traffic,5,9,pet,online_big,cat,manufacturer,rio de janeiro,RJ,7.0,10.0
172,19,paid_search,5,9,bags_backpacks,industry,wolf,manufacturer,ipira,BA,10.0,8.0
173,56,direct_traffic,5,9,audio_video_electronics,online_medium,cat,reseller,sao paulo,SP,7.0,11.0
174,31,social,5,9,audio_video_electronics,online_big,cat,reseller,sao paulo,SP,7.0,10.0
175,62,organic_search,5,9,household_utilities,online_medium,cat,reseller,sao paulo,SP,7.0,10.0
176,56,unknown,1,9,household_utilities,online_medium,cat,reseller,ribeirao preto / sao paulo,SP,2.0,10.0
177,13,organic_search,1,9,fashion_accessories,online_medium,cat,manufacturer,curitiba,PR,6.0,8.0
178,13,email,13,9,health_beauty,online_medium,cat,reseller,sao paulo,SP,6.0,8.0
179,23,paid_search,13,9,construction_tools_house_garden,online_big,wolf,reseller,angra dos reis,RJ,14.0,31.0
180,26,paid_search,13,9,health_beauty,industry,wolf,manufacturer,sao paulo,SP,14.0,31.0
181,13,organic_search,15,9,audio_video_electronics,online_small,cat,reseller,belo horizonte,MG,7.0,13.0
182,56,unknown,15,9,household_utilities,offline,cat,reseller,praia grande,SP,10.0,10.0
183,62,organic_search,15,9,stationery,online_medium,wolf,reseller,sao paulo - sp,SP,10.0,23.0
184,26,paid_search,7,17,household_utilities,industry,shark,reseller,curitiba,PR,24.0,6.0
185,13,organic_search,7,17,toys,online_medium,cat,reseller,carazinho,RS,15.0,3.0
186,56,unknown,7,17,computers,online_medium,wolf,reseller,sao paulo,SP,24.0,11.0
187,13,organic_search,7,17,home_decor,online_beginner,cat,manufacturer,guarulhos,SP,10.0,5.0
